language,count,count_distribution,bytes,bytes_distribution,percentage_sum,percentage_avg,percentage_std,percentage_median,percentage_max,percentage_min
awk,146,0.009883563498510696,2689315,4.536898406716244e-05,1.4641995640837564,0.01,0.0826,0.0003,0.98526617542884,3.48113250117151e-07
f*,4,0.00027078256160303275,16998440,0.0002867651998842146,1.3495052585093086,0.3374,0.3888,0.3317,0.6859276696065623,0.00020306069218612355
tcl,88,0.005957216355266721,16232487,0.00027384350441410593,1.3459300156515472,0.0153,0.0421,0.001,0.2509556762623474,2.450220059670469e-07
verilog,20,0.0013539128080151638,24022120,0.00040525530833668207,1.3275720787455894,0.0664,0.1487,0.0021,0.5317541722551896,1.9156034907659293e-07
fortran,50,0.0033847820200379095,70602945,0.0011910779833525435,1.3146630220703153,0.0263,0.0779,0.0013,0.4844279464822973,2.9934898331481155e-07
coq,12,0.0008123476848090983,16738782,0.00028238474625014376,1.2459993364593163,0.1038,0.1938,0.0024,0.537973261171187,2.150925121167403e-06
standard ml,49,0.0033170863796371515,43619379,0.0007358628166914325,1.1499741049098886,0.0235,0.1044,0.0008,0.7215483889906508,3.3989871130150736e-07
processing,21,0.001421608448415922,1741571,2.9380458202491025e-05,1.1071378924304176,0.0527,0.2142,0.0025,0.9870648123673014,7.774717969288737e-05
meson,87,0.005889520714865963,3327226,5.6130599569722626e-05,1.0791412196745291,0.0124,0.0218,0.0071,0.14563689353677353,2.7042702849534e-06
antlr,66,0.004467912266450041,6321265,0.000106640304713026,1.0532793212038665,0.016,0.0784,0.0012,0.6357876464185838,1.0921177011650469e-05
lex,156,0.010560519902518278,10200777,0.00017208801839341134,1.0201389322079801,0.0065,0.0245,0.001,0.23518363496897784,2.9260714015261686e-06
autoit,7,0.0004738694828053073,404560,6.824963306347986e-06,1.0050760950902198,0.1436,0.3776,0.0009,1.0,5.9684122924259476e-05
yaml,1,6.769564040075819e-05,52866,8.918541382079114e-07,1.0,1.0,1.0,1.0,1.0,1.0
moonscript,9,0.0006092607636068237,664849,1.1216061966734606e-05,0.9931325174058658,0.1103,0.2151,0.0019,0.560936284687424,0.00038829928136136193
restructuredtext,1,6.769564040075819e-05,10363118,0.00017482672555209198,0.9912283554462514,0.9912283554462514,0.9912283554462514,0.9912283554462514,0.9912283554462514,0.9912283554462514
stan,3,0.00020308692120227456,22945678,0.00038709563572591517,0.9402000681563957,0.3134,0.5201,0.0264,0.9137528282155417,2.1596210469756452e-05
factor,4,0.00027078256160303275,15329324,0.00025860706399821916,0.9163782688827039,0.2291,0.4529,0.0036,0.9083967752832739,0.0007274009742764565
